HSCIC_Region,ONS.LA.Code,ONS.LA.Name
Barking and Dagenham,E09000002,Barking and Dagenham
Barnet,E09000003,Barnet
Barnsley,E08000016,Barnsley
Bath and North East Somerset,E06000022,Bath and North East Somerset
Bedford,E06000055,Bedford
Bexley,E09000004,Bexley
Birmingham,E08000025,Birmingham
Blackburn with Darwen,E06000008,Blackburn with Darwen
Blackpool,E06000009,Blackpool
Bolton,E08000001,Bolton
Bournemouth,E06000028,Bournemouth
Bracknell Forest,E06000036,Bracknell Forest
Bradford,E08000032,Bradford
Brent,E09000005,Brent
Brighton and Hove,E06000043,Brighton and Hove
"Bristol, City of",E06000023,"Bristol, City of"
Bromley,E09000006,Bromley
Buckinghamshire,E10000002,Buckinghamshire
Bury,E08000002,Bury
Calderdale,E08000033,Calderdale
Cambridgeshire,E10000003,Cambridgeshire
Camden,E09000007,Camden
Central Bedfordshire,E06000056,Central Bedfordshire
Cheshire East,E06000049,Cheshire East
Cheshire West and Chester,E06000050,Cheshire West and Chester
City of London,E09000001,City of London
Cornwall,E06000052,Cornwall
Durham,E06000047,County Durham
Coventry,E08000026,Coventry
Croydon,E09000008,Croydon
Cumbria,E10000006,Cumbria
Darlington,E06000005,Darlington
Derby,E06000015,Derby
Derbyshire,E10000007,Derbyshire
Devon,E10000008,Devon
Doncaster,E08000017,Doncaster
Dorset,E10000009,Dorset
Dudley,E08000027,Dudley
Ealing,E09000009,Ealing
East Riding of Yorkshire,E06000011,East Riding of Yorkshire
East Sussex,E10000011,East Sussex
Enfield,E09000010,Enfield
Essex,E10000012,Essex
[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET]
Gateshead,E08000020,Gateshead
Gloucestershire,E10000013,Gloucestershire
Greenwich,E09000011,Greenwich
Hackney,E09000012,Hackney
Halton,E06000006,Halton
Hammersmith and Fulham,E09000013,Hammersmith and Fulham
Hampshire,E10000014,Hampshire
Haringey,E09000014,Haringey
Harrow,E09000015,Harrow
Hartlepool,E06000001,Hartlepool
Havering,E09000016,Havering
"Herefordshire, County of",E06000019,"Herefordshire, County of"
Hertfordshire,E10000015,Hertfordshire
Hillingdon,E09000017,Hillingdon
Hounslow,E09000018,Hounslow
Isle of Wight,E06000046,Isle of Wight
Isles of Scilly,E06000053,Isles of Scilly
Islington,E09000019,Islington
Kensington and Chelsea,E09000020,Kensington and Chelsea
Kent,E10000016,Kent
"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of"
Kingston upon Thames,E09000021,Kingston upon Thames
Kirklees,E08000034,Kirklees
Knowsley,E08000011,Knowsley
Lambeth,E09000022,Lambeth
Lancashire,E10000017,Lancashire
Leeds,E08000035,Leeds
Leicester,E06000016,Leicester
Leicestershire,E10000018,Leicestershire
Lewisham,E09000023,Lewisham
Lincolnshire,E10000019,Lincolnshire
Liverpool,E08000012,Liverpool
Luton,E06000032,Luton
Manchester,E08000003,Manchester
Medway,E06000035,Medway
Merton,E09000024,Merton
Middlesbrough,E06000002,Middlesbrough
Milton Keynes,E06000042,Milton Keynes
Newcastle upon Tyne,E08000021,Newcastle upon Tyne
Newham,E09000025,Newham
[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET]
Norfolk,E10000020,Norfolk
North East Lincolnshire,E06000012,North East Lincolnshire
North Lincolnshire,E06000013,North Lincolnshire
North Somerset,E06000024,North Somerset
North Tyneside,E08000022,North Tyneside
North Yorkshire,E10000023,North Yorkshire
Northamptonshire,E10000021,Northamptonshire
Northumberland,E06000048,Northumberland
Nottingham,E06000018,Nottingham
Nottinghamshire,E10000024,Nottinghamshire
Oldham,E08000004,Oldham
Oxfordshire,E10000025,Oxfordshire
Peterborough,E06000031,Peterborough
Plymouth,E06000026,Plymouth
Poole,E06000029,Poole
Portsmouth,E06000044,Portsmouth
Reading,E06000038,Reading
Redbridge,E09000026,Redbridge
Redcar and Cleveland,E06000003,Redcar and Cleveland
Richmond upon Thames,E09000027,Richmond upon Thames
Rochdale,E08000005,Rochdale
Rotherham,E08000018,Rotherham
Rutland,E06000017,Rutland
Salford,E08000006,Salford
Sandwell,E08000028,Sandwell
Sefton,E08000014,Sefton
Sheffield,E08000019,Sheffield
Shropshire,E06000051,Shropshire
Slough,E06000039,Slough
Solihull,E08000029,Solihull
Somerset,E10000027,Somerset
South Gloucestershire,E06000025,South Gloucestershire
South Tyneside,E08000023,South Tyneside
Southampton,E06000045,Southampton
Southend-on-Sea,E06000033,Southend-on-Sea
Southwark,E09000028,Southwark
St. Helens,E08000013,St. Helens
Staffordshire,E10000028,Staffordshire
Stockport,E08000007,Stockport
Stockton-on-Tees,E06000004,Stockton-on-Tees
Stoke-on-Trent,E06000021,Stoke-on-Trent
Suffolk,E10000029,Suffolk
Sunderland,E08000024,Sunderland
Surrey,E10000030,Surrey
Sutton,E09000029,Sutton
Swindon,E06000030,Swindon
Tameside,E08000008,Tameside
Telford and Wrekin,E06000020,Telford and Wrekin
Thurrock,E06000034,Thurrock
Torbay,E06000027,Torbay
Tower Hamlets,E09000030,Tower Hamlets
Trafford,E08000009,Trafford
[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET],[NOT PRESENT IN DATASET]
Wakefield,E08000036,Wakefield
Walsall,E08000030,Walsall
Waltham Forest,E09000031,Waltham Forest
Wandsworth,E09000032,Wandsworth
Warrington,E06000007,Warrington
Warwickshire,E10000031,Warwickshire
West Berkshire,E06000037,West Berkshire
West Sussex,E10000032,West Sussex
Westminster,E09000033,Westminster
Wigan,E08000010,Wigan
Wiltshire,E06000054,Wiltshire
Windsor and Maidenhead,E06000040,Windsor and Maidenhead
Wirral,E08000015,Wirral
Wokingham,E06000041,Wokingham
Wolverhampton,E08000031,Wolverhampton
Worcestershire,E10000034,Worcestershire
York,E06000014,York
