X,Y,CTYUA14CD,CTYUA14NM,CTYUA14NMW,BNG_X,BNG_Y
-1.265148128083845,54.674563635040556,E06000001,Hartlepool,,447486,531303
-1.21095069213849,54.546400635302781,E06000002,Middlesbrough,,451141,517080
-0.99507158830338,54.567583179873679,E06000003,Redcar and Cleveland,,465072,519615
-1.304090303732045,54.55453913065287,E06000004,Stockton-on-Tees,,445107,517922
-1.559043787397856,54.535309062447681,E06000005,Darlington,,428631,515649
-2.714210056657142,53.353659281785887,E06000006,Halton,,352558,384324
-2.561808831669106,53.401548196303331,E06000007,Warrington,,362744,389561
-2.46358948367555,53.699217007174852,E06000008,Blackburn with Darwen,,369490,422631
-3.03091360438184,53.824598204675517,E06000009,Blackpool,,332237,436974
-0.331504186641958,53.762065461434986,E06000010,"Kingston upon Hull, City of",,510088,430815
-0.467880239021491,53.878458446178108,E06000011,East Riding of Yorkshire,,500819,443561
-0.132415937865493,53.536438512424112,E06000012,North East Lincolnshire,,523870,406043
-0.575389244534217,53.588282003988333,E06000013,North Lincolnshire,,494399,411132
-1.070787690564018,53.96578363118158,E06000014,York,,461058,452589
-1.470040766801747,52.914616535070699,E06000015,Derby,,435734,335375
-1.131111549598751,52.635907495553148,E06000016,Leicester,,458899,304594
-0.627126603673399,52.641910923733114,E06000017,Rutland,,492992,305792
-1.166688458415971,52.953689272589976,E06000018,Nottingham,,456082,339915
-2.739794031385769,52.110847093805717,E06000019,"Herefordshire, County of",,349434,246094
-2.489493193210373,52.721243299079518,E06000020,Telford and Wrekin,,367035,313845
-2.158898453351108,53.019489209495468,E06000021,Stoke-on-Trent,,389438,346922
-2.493164563857245,51.356023778086673,E06000022,Bath and North East Somerset,,365756,161999
-2.916849380801341,51.443032301207879,E06000023,"Bristol, City of",,336375,171959
-2.851952471630903,51.396404940549367,E06000024,North Somerset,,340825,166719
-2.481306199838951,51.549257806987214,E06000025,South Gloucestershire,,366723,183484
-4.112368761363427,50.38872660031101,E06000026,Plymouth,,249935,56449
-3.543256250545176,50.445834208955503,E06000027,Torbay,,290521,61804
-1.839082854389649,50.744685097946572,E06000028,Bournemouth,,411450,93910
-1.966913478003734,50.74018690211873,E06000029,Poole,,402431,93398
-1.73363283221742,51.587591145701502,E06000030,Swindon,,418551,187671
-0.255184847841934,52.591928491966165,E06000031,Peterborough,,518292,300777
-0.427871160761652,51.891075823960762,E06000032,Luton,,508286,222559
0.73669632108225,51.54028712666765,E06000033,Southend-on-Sea,,589880,185926
0.38101528591455,51.507632436652187,E06000034,Thurrock,,565336,181432
0.569176975168203,51.416728686374455,E06000035,Medway,,578747,171766
-0.73396425962204,51.399888389326541,E06000036,Bracknell Forest,,488169,167522
-1.284437149978621,51.445660206860431,E06000037,West Berkshire,,449826,172095
-0.990760935281986,51.45165621125377,E06000038,Reading,,470226,173002
-0.575285943902106,51.503491016707564,E06000039,Slough,,498983,179246
-0.688200470553608,51.480484700727153,E06000040,Windsor and Maidenhead,,491192,176541
-0.898545862542467,51.457408414354525,E06000041,Wokingham,,476624,173734
-0.740417016081271,52.083391116676154,E06000042,Milton Keynes,,486408,243530
-0.13026251985647,50.845312000686292,E06000043,Brighton and Hove,,531730,106753
-1.09733010914051,50.804847404421466,E06000044,Portsmouth,,463703,100976
-1.400456963065803,50.913872601797145,E06000045,Southampton,,442245,112883
-1.327319023213863,50.671247414056531,E06000046,Isle of Wight,,447632,85947
-1.798030471312851,54.685060813627693,E06000047,County Durham,,413119,532242
-2.364736263408131,53.167714928051751,E06000049,Cheshire East,,375714,363462
-2.735377619896727,53.16315304221073,E06000050,Cheshire West and Chester,,350931,363145
-2.737161034866658,52.651135584898668,E06000051,Shropshire,,350227,306189
-4.972781602209511,50.440663285525275,E06000052,Cornwall,,189011,64315
-6.302160474103796,49.92031813975359,E06000053,Isles of Scilly,,91304,11112
-1.926631341262038,51.324148326736463,E06000054,Wiltshire,,405209,158341
-0.454931106214329,52.188322075318673,E06000055,Bedford,,505721,255578
-0.42426257333681,51.998324224636768,E06000056,Central Bedfordshire,,508276,234492
-2.074479027703094,55.29711888804129,E06000057,Northumberland,,395369,600337
-2.482950928868671,53.584467929439292,E08000001,Bolton,,368125,409873
-2.308779359010849,53.589601633649231,E08000002,Bury,,379658,410380
-2.233445192303123,53.442443573741841,E08000003,Manchester,,384591,393989
-2.047860082583688,53.557669130587939,E08000004,Oldham,,396927,406784
-2.154767925854938,53.607391451045977,E08000005,Rochdale,,389857,412326
-2.367495387240699,53.479309610725664,E08000006,Salford,,375708,398128
-2.119562234056005,53.391152701654839,E08000007,Stockport,,392146,388264
-2.06652973295265,53.478652305102194,E08000008,Tameside,,395682,397994
-2.365738865053564,53.418750248939084,E08000009,Trafford,,375790,391390
-2.572644550869618,53.527336958289673,E08000010,Wigan,,362136,403561
-2.832736551999172,53.42546682195686,E08000011,Knowsley,,344762,392398
-2.918556062650692,53.393061774890754,E08000012,Liverpool,,339013,388863
-2.700714276996836,53.458619945894533,E08000013,St. Helens,,353571,395992
-3.065864016159161,53.569610482731711,E08000014,Sefton,,329511,408640
-3.082660557582405,53.371541632622609,E08000015,Wirral,,328064,386622
-1.549167033831006,53.525757221454271,E08000016,Barnsley,,429985,403327
-1.108797100008208,53.533947409495774,E08000017,Doncaster,,459167,404513
-1.286300407496207,53.408326290557632,E08000018,Rotherham,,447542,390405
-1.562626504323962,53.403644005681954,E08000019,Sheffield,,429176,389736
-1.652141965354668,55.019241075400281,E08000021,Newcastle upon Tyne,,422340,569466
-1.521265533818129,55.029930843458338,E08000022,North Tyneside,,430700,570705
-1.443422835746782,54.969885998457734,E08000023,South Tyneside,,435729,564060
-1.457505877955595,54.871773088965206,E08000024,Sunderland,,434912,553135
-1.881372493748609,52.494880306311508,E08000025,Birmingham,,408151,288559
-1.519384164981268,52.414222543442214,E08000026,Coventry,,432787,279689
-2.101713041628044,52.492135650529562,E08000027,Dudley,,393191,288252
-2.00772209141038,52.514905845397905,E08000028,Sandwell,,399573,290780
-1.732421294182982,52.431024265239095,E08000029,Solihull,,418290,281483
-1.97516470292324,52.605017677975539,E08000030,Walsall,,401779,300804
-2.127449597657099,52.590900348568802,E08000031,Wolverhampton,,391463,299241
-1.850517913030083,53.843785169425864,E08000032,Bradford,,409933,438626
-1.950136739301061,53.720462733733982,E08000033,Calderdale,,403388,424896
-1.790469349164679,53.642336054091466,E08000034,Kirklees,,413950,416223
-1.545028561421234,53.822865340895689,E08000035,Leeds,,430048,436384
-1.412223094130933,53.659161916313124,E08000036,Wakefield,,438941,418235
-1.681522383853834,54.93118441692274,E08000037,Gateshead,,420506,559658
-0.093247617126088,51.515169606964086,E09000001,City of London,,532404,181306
0.128774935170339,51.554533251620931,E09000002,Barking and Dagenham,,547681,186108
-0.218166791344076,51.612848373709774,E09000003,Barnet,,523472,191950
0.149334246042595,51.461819571522639,E09000004,Bexley,,549409,175840
-0.262847246379847,51.564222464088196,E09000005,Brent,,520507,186468
0.038964108272988,51.366938185319704,E09000006,Bromley,,542036,165070
-0.159158627905968,51.543002138911454,E09000007,Camden,,527753,184284
-0.078130668450693,51.354349455086805,E09000008,Croydon,,533922,163450
-0.332248450878352,51.52469225296327,E09000009,Ealing,,515797,181960
-0.097937205088521,51.649152491205349,E09000010,Enfield,,531691,196197
0.048439034101286,51.469399423684365,E09000011,Greenwich,,542377,176482
-0.060753024558809,51.548610781914221,E09000012,Hackney,,534560,185084
-0.216053968952224,51.498289551446355,E09000013,Hammersmith and Fulham,,523929,179214
-0.106452047357288,51.587710151113882,E09000014,Haringey,,531279,189349
-0.335980983354274,51.596656100501285,E09000015,Harrow,,515356,189957
0.234960679929508,51.557432438078507,E09000016,Havering,,555032,186650
-0.441655396439149,51.542139693320642,E09000017,Hillingdon,,508166,183733
-0.35274219021665,51.462080638241197,E09000018,Hounslow,,514532,174965
-0.109888550828127,51.546984707884278,E09000019,Islington,,531158,184814
-0.189408775479266,51.503537477761569,E09000020,Kensington and Chelsea,,525764,179843
-0.284122299452153,51.381710903968127,E09000021,Kingston upon Thames,,519508,166137
-0.114047477889404,51.460309497869041,E09000022,Lambeth,,531118,175168
-0.016871258592717,51.453490143975856,E09000023,Lewisham,,537889,174588
-0.189286814790253,51.410588809249184,E09000024,Merton,,526028,169507
0.039478966329125,51.529977864468819,E09000025,Newham,,541567,183201
0.077948633576191,51.58574990509905,E09000026,Redbridge,,544059,189478
-0.307616119515192,51.440953255612619,E09000027,Richmond upon Thames,,517721,172687
-0.071876072313427,51.464920178501352,E09000028,Southwark,,534034,175757
-0.181218257978289,51.357704048211296,E09000029,Sutton,,526735,163640
-0.03484892202397,51.514790182158556,E09000030,Tower Hamlets,,536457,181371
-0.018679835009928,51.59839205103691,E09000031,Waltham Forest,,537327,190698
-0.193435744526039,51.452702051423984,E09000032,Wandsworth,,525624,174183
-0.163972656185856,51.511891725315301,E09000033,Westminster,,527506,180816
-0.805349284361086,51.783632948202005,E10000002,Buckinghamshire,,482506,210116
0.011610848615225,52.374726855242898,E10000003,Cambridgeshire,,537036,277091
-2.902064456314559,54.614987837874992,E10000006,Cumbria,,341842,524800
-1.601745093256632,53.118196694272974,E10000007,Derbyshire,,426752,357965
-3.770026056374037,50.723936927771014,E10000008,Devon,,275159,93085
-2.32127244701916,50.797166148838123,E10000009,Dorset,,377454,99783
0.367225533257762,50.936911702627526,E10000011,East Sussex,,566424,117942
0.636026942699774,51.794057598437405,E10000012,Essex,,581881,213887
-2.152633368244496,51.845236421295837,E10000013,Gloucestershire,,389582,216304
-1.346183636256135,51.045221017531958,E10000014,Hampshire,,445931,127522
-0.275850219865182,51.839383435234716,E10000015,Hertfordshire,,518883,217047
0.735354662212935,51.193710633859091,E10000016,Kent,,591225,147388
-2.566923897368006,53.861699889532005,E10000017,Lancashire,,362812,440758
-1.131977338391277,52.686230603838801,E10000018,Leicestershire,,458773,310191
-0.237198045537865,53.126068130870564,E10000019,Lincolnshire,,518053,360218
0.95359629108794,52.675610696787274,E10000020,Norfolk,,599779,312750
-0.838869495541808,52.310773423901445,E10000021,Northamptonshire,,479257,268708
-1.389730300317744,54.094373815929444,E10000023,North Yorkshire,,440011,466669
-1.006171995958392,53.145540498112126,E10000024,Nottinghamshire,,466570,361394
-1.290802562311478,51.815120343849152,E10000025,Oxfordshire,,448985,213181
-3.039597633684417,51.076476673045107,E10000027,Somerset,,327267,131309
-2.027516500997784,52.824803679236581,E10000028,Staffordshire,,398243,325253
1.044182004558155,52.253683063532023,E10000029,Suffolk,,607880,266089
-0.393708111123617,51.2687988393442,E10000030,Surrey,,512157,153408
-1.56738460246206,52.321215446239556,E10000031,Warwickshire,,429584,269323
-0.459578230133447,50.944748845806103,E10000032,West Sussex,,508316,117275
-2.209352888485416,52.21106011365098,E10000034,Worcestershire,,385792,257003
-4.357991723098933,53.281558155042092,W06000001,Isle of Anglesey,Ynys Mon,242891,378659
-4.124168285258103,52.906383541536925,W06000002,Gwynedd,Gwynedd,257240,336441
-3.746469547213245,53.147679629321686,W06000003,Conwy,Conwy,283293,362596
-3.348301519779671,53.110450581523828,W06000004,Denbighshire,Sir Ddinbych,309843,357879
-3.159259175679642,53.217645438378945,W06000005,Flintshire,Sir y Fflint,322690,369582
-3.051880685938636,53.001142837038259,W06000006,Wrexham,Wrecsam,329506,345387
-4.181604374287189,52.293885478723958,W06000008,Ceredigion,Ceredigion,251316,268437
-5.079741691654353,51.850679424265458,W06000009,Pembrokeshire,Sir Benfro,187986,221384
-4.182225753968188,51.890872956821759,W06000010,Carmarthenshire,Sir Gaerfyrddin,249926,223620
-4.089787364999605,51.654836541784888,W06000011,Swansea,Abertawe,255534,197185
-3.747323033758793,51.66934469146792,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,198176
-3.617084128115205,51.557586418669054,W06000013,Bridgend,Pen-y-bont ar Ogwr,287992,185540
-3.404007637218529,51.447515699432792,W06000014,Vale of Glamorgan,Bro Morgannwg,302528,172994
-3.204778350648065,51.466898587683438,W06000015,Cardiff,Caerdydd,316408,174903
-3.414922061752301,51.66474799350798,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,197167
-3.198121899338469,51.672465442973092,W06000018,Caerphilly,Caerffili,317245,197757
-3.207405866417908,51.75342060868568,W06000019,Blaenau Gwent,Blaenau Gwent,316752,206771
-3.051089413515393,51.701684376891009,W06000020,Torfaen,Torfaen,327459,200850
-2.902247342018307,51.750522372900633,W06000021,Monmouthshire,Sir Fynwy,337812,206144
-2.962988072028878,51.571900529161248,W06000022,Newport,Casnewydd,333357,186332
-3.434868646406909,52.327683120487684,W06000023,Powys,Powys,302313,270924
-3.363985484141725,51.73991926102866,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,205460
